seg_id	word_idx	t0	t1	prob	word
4	18	10.840	10.840	0.927	ร
4	19	10.840	10.860	0.986	า
4	20	10.860	10.860	0.745	ะ
4	21	10.860	10.960	0.899	ต
4	22	10.960	11.040	0.894	ล
4	23	11.040	11.160	0.938	า
4	24	11.160	11.280	0.989	ด
5	0	11.280	11.520	0.886	แต
5	1	11.520	11.540	0.999	่
5	2	11.540	11.620	0.995	ม
5	3	11.620	11.640	0.989	ั
5	4	11.640	11.640	0.993	น
5	5	11.640	11.800	0.993	ส
5	6	11.800	11.880	0.979	ู
5	7	11.880	11.920	1.000	ง
5	8	11.920	12.080	0.912	เพ
5	9	12.080	12.120	0.998	ร
5	10	12.120	12.120	0.996	า
5	11	12.120	12.300	0.999	ะ
5	12	12.300	12.480	0.869	ม
5	13	12.480	12.520	0.995	ี
5	14	12.520	12.680	0.903	เง
5	15	12.680	12.700	0.886	ิ
5	16	12.700	12.700	0.845	น
5	17	12.700	12.860	0.950	บ
5	18	12.860	12.900	0.559	าง
5	19	12.900	13.080	0.942	ส
5	20	13.080	13.100	0.860	่
5	21	13.100	13.120	0.982	ว
5	22	13.120	13.180	0.975	น
5	23	13.180	13.320	0.923	ถ
5	24	13.320	13.360	0.918	ู
5	25	13.360	13.440	0.997	ก
5	26	13.440	13.560	0.727	ก
5	27	13.560	13.600	0.552	าก
5	28	13.600	13.780	0.972	ไ
5	29	13.780	13.780	0.769	ว
5	30	13.780	14.060	0.961	้
6	0	14.060	14.180	0.136	ก
6	1	14.180	14.320	0.939	าก
6	2	14.320	14.420	0.928	ไ
6	3	14.420	14.420	0.971	ว
6	4	14.420	14.480	0.999	้
6	5	14.480	14.620	0.991	ทำ
6	6	14.620	14.840	0.936	อะไร?
7	0	15.180	15.300	0.866	ก
7	1	15.300	15.380	0.992	าก
7	2	15.380	15.520	0.992	ไ
7	3	15.520	15.520	0.969	ว
7	4	15.520	15.560	0.998	้
7	5	15.560	15.660	0.992	เป
7	6	15.660	15.700	0.997	็
7	7	15.700	15.720	0.964	น
7	8	15.720	15.860	0.239	ร
7	9	15.860	15.900	0.912	ี
7	10	15.900	15.960	0.822	บ
7	11	15.960	17.460	0.287	เว
7	12	17.460	29.980	0.654	ต
8	0	33.100	33.300	0.044	ค
8	1	33.300	33.420	0.422	ำ
8	2	33.420	33.620	0.976	ถ
8	3	33.620	33.680	0.987	าม
8	4	33.680	33.900	0.875	ค
8	5	33.900	33.940	0.992	ื
8	6	33.940	34.120	0.982	อ
8	7	34.180	34.360	0.910	 ถ
8	8	34.360	34.360	0.991	้
8	9	34.360	34.400	0.655	า
8	10	34.400	34.520	0.062	ร
8	11	34.520	34.540	0.965	ี
8	12	34.540	34.600	0.915	บ
8	13	34.600	34.660	0.221	เว
8	14	34.660	34.700	0.486	ต
8	15	34.700	34.800	0.016	ม
8	16	34.800	34.840	0.955	ั
8	17	34.840	34.840	0.986	น
8	18	34.840	34.940	0.991	ม
8	19	34.940	34.960	0.992	ี
8	20	34.960	35.140	0.189	 $
8	21	35.140	35.340	0.925	15
8	22	35.340	36.080	0.934	 แล
8	23	36.080	36.100	0.614	้
8	24	36.100	36.160	0.936	ว
8	25	36.160	36.240	0.553	อ
8	26	36.240	36.240	0.977	ี
8	27	36.240	36.240	0.999	ก
8	28	36.240	36.420	0.981	 $
8	29	36.420	36.840	0.965	15
8	30	36.840	37.080	0.974	 ห
8	31	37.080	37.180	0.973	าย
8	32	37.180	37.320	0.973	ไป
8	33	37.320	37.440	0.984	ไ
8	34	37.440	37.540	0.931	หน?
9	0	37.740	37.940	0.176	ก
9	1	37.940	37.960	0.645	ู
9	2	37.960	38.060	0.889	ต
9	3	38.060	38.140	0.691	อ
9	4	38.140	38.220	0.987	บ
9	5	38.220	38.360	0.964	ให
9	6	38.360	38.640	0.999	้
9	7	38.700	38.860	0.992	 ม
9	8	38.860	38.900	0.992	ั
9	9	38.900	38.920	0.998	น
9	10	38.920	39.040	0.938	ไป
9	11	39.040	39.140	0.979	อย
9	12	39.140	39.160	0.997	ู่
9	13	39.160	39.220	0.986	ก
9	14	39.220	39.300	0.998	ั
9	15	39.300	39.320	0.993	บ
9	16	39.320	39.580	0.654	 IB
9	17	39.780	39.780	0.989	 ท
9	18	39.780	39.840	0.997	ี่
9	19	39.840	39.940	0.935	ช
9	20	39.940	39.940	0.325	่
9	21	39.940	39.960	0.971	ว
9	22	39.960	39.980	0.854	น
9	23	39.980	40.100	0.696	ม
9	24	40.100	40.120	0.900	ึ
9	25	40.120	40.120	0.995	ง
9	26	40.120	40.260	0.830	มา
9	27	40.260	40.440	0.619	เท
9	28	40.440	40.580	0.512	ศ
10	0	40.580	40.880	0.802	แล
10	1	40.880	40.980	0.914	ะ
10	2	40.980	41.060	0.997	ท
10	3	41.060	41.060	0.968	ี่
10	4	41.060	41.220	0.521	หน
10	5	41.220	41.240	0.734	้
10	6	41.240	41.240	0.972	า
10	7	41.240	41.400	0.292	เท
10	8	41.400	41.420	0.557	่
10	9	41.420	41.440	0.931	า
10	10	41.440	41.560	0.501	ก
10	11	41.560	41.640	0.924	ว
10	12	41.640	41.680	0.874	่
10	13	41.680	41.720	0.845	า
10	14	41.720	41.860	0.823	ค
10	15	41.860	41.940	0.999	ื
10	16	41.940	42.080	0.996	อ
10	17	42.080	42.440	0.659	 IB
10	18	42.580	42.640	0.928	 พ
10	19	42.640	42.740	0.990	วก
10	20	42.740	42.860	0.912	น
10	21	42.860	42.920	0.992	ั้
10	22	42.920	43.040	0.986	น
10	23	43.040	43.260	0.877	ค
10	24	43.260	43.320	0.979	ื
10	25	43.320	43.380	0.804	น
10	26	43.380	43.480	0.992	ให
10	27	43.480	43.500	0.992	้
10	28	43.500	43.600	0.971	ม
10	29	43.600	43.620	0.989	ึ
10	30	43.620	43.660	0.999	ง
10	31	43.660	43.760	0.846	น
10	32	43.760	43.780	0.882	ิ
10	33	43.780	43.860	0.890	ด
10	34	43.860	44.000	0.967	เด
10	35	44.000	44.000	0.989	ี
10	36	44.000	44.040	0.998	ย
10	37	44.040	44.180	0.975	ว
11	0	44.180	44.420	0.515	ห
11	1	44.420	44.420	0.993	ร
11	2	44.420	44.440	0.999	ื
11	3	44.440	44.480	0.967	อ
11	4	44.480	44.600	0.921	บ
11	5	44.600	44.600	0.841	าง
11	6	44.600	44.840	0.984	คน
11	7	44.840	45.200	0.561	ไม
11	8	45.200	45.240	0.997	่
11	9	45.240	45.400	0.991	ค
11	10	45.400	45.420	0.995	ื
11	11	45.420	45.460	0.980	น
11	12	45.460	45.560	0.997	ให
11	13	45.560	45.580	0.999	้
11	14	45.580	45.680	0.987	ม
11	15	45.680	45.680	0.993	ึ
11	16	45.680	45.740	0.999	ง
11	17	45.740	45.940	0.989	เลย
12	0	46.200	46.400	0.103	แ
12	1	46.400	46.400	0.942	ป
12	2	46.400	46.420	0.979	ล
12	3	46.420	46.520	0.172	ก
12	4	46.520	46.620	0.942	ต
12	5	46.620	46.660	0.978	ร
12	6	46.660	46.680	0.997	ง
12	7	46.680	46.880	0.375	ๆ
12	8	46.880	47.100	0.732	ค
12	9	47.100	47.140	0.997	ื
12	10	47.140	47.400	0.978	อ
12	11	47.480	47.560	0.979	 ม
12	12	47.560	47.580	0.996	ึ
12	13	47.580	47.620	0.999	ง
12	14	47.620	47.740	0.993	เป
12	15	47.740	47.760	0.991	็
12	16	47.760	47.780	0.995	น
12	17	47.780	47.960	0.922	คน
12	18	47.960	48.120	0.528	ก
12	19	48.120	48.200	0.823	ด
12	20	48.480	48.540	0.974	 ม
12	21	48.540	48.560	0.998	ึ
12	22	48.560	48.600	1.000	ง
12	23	48.600	48.700	0.999	เป
12	24	48.700	48.720	0.999	็
12	25	48.720	48.720	0.997	น
12	26	48.720	48.900	0.987	คน
12	27	48.900	49.120	0.983	เส
12	28	49.120	49.140	0.980	ี
12	29	49.140	49.140	0.996	ย
12	30	49.140	49.280	0.997	ง
13	0	49.280	49.500	0.872	แต
13	1	49.500	49.520	0.980	่
13	2	49.520	49.680	0.969	คน
13	3	49.680	49.820	0.955	อ
13	4	49.820	49.860	0.980	ื่
13	5	49.860	49.920	0.989	น
13	6	49.920	50.040	0.502	ก
13	7	50.040	50.100	0.995	ิ
13	8	50.100	50.140	0.841	น
13	9	50.140	50.260	0.977	เง
13	10	50.260	50.280	0.944	ิ
13	11	50.280	50.280	0.946	น
13	12	50.280	50.440	0.828	ม
13	13	50.440	50.460	0.993	ึ
13	14	50.460	50.500	0.999	ง
13	15	50.500	50.620	0.752	เง
13	16	50.620	50.660	0.464	ี
13	17	50.660	50.660	0.951	ย
13	18	50.660	50.700	0.981	บ
13	19	51.120	51.300	0.541	 ห
13	20	51.300	51.320	0.657	ู
13	21	51.320	51.440	0.394	พ
13	22	51.440	51.540	0.893	ู
13	23	51.540	51.560	0.992	ด
13	24	51.560	51.660	0.970	ต
13	25	51.660	51.700	0.997	ร
13	26	51.700	51.720	0.999	ง
13	27	51.720	51.880	0.984	น
13	28	51.880	51.900	0.992	ี้
13	29	51.900	52.020	0.956	เลย
13	30	52.020	52.200	0.942	นะ
14	0	52.440	52.600	0.836	ใ
14	1	52.600	52.620	0.956	คร
14	2	52.620	52.800	0.779	ใช
14	3	52.800	52.900	0.965	้
14	4	52.900	53.100	0.141	 X
14	5	53.100	53.300	0.665	M
14	6	53.400	53.460	0.971	 แล
14	7	53.460	53.500	0.995	้
14	8	53.500	53.500	0.963	ว
14	9	53.500	53.600	0.969	ได
14	10	53.600	53.640	0.999	้
14	11	53.640	53.760	0.002	 ρ
14	12	53.760	53.820	0.937	ี
14	13	53.820	53.840	0.838	บ
14	14	53.840	53.920	0.287	เว
14	15	53.920	53.940	0.553	ต
14	16	53.940	54.080	0.420	ไม
14	17	54.080	54.140	0.986	่
14	18	54.140	54.220	0.992	ถ
14	19	54.220	54.260	0.988	ึ
14	20	54.260	54.260	0.999	ง
14	21	54.260	54.540	0.492	 $
14	22	54.540	54.620	0.762	15
14	23	54.660	55.100	0.893	 ต
14	24	55.100	55.140	0.791	่
14	25	55.140	55.140	0.947	อ
14	26	55.140	55.280	0.811	ห
14	27	55.280	55.280	0.808	ล
14	28	55.280	55.300	0.416	อ
14	29	55.300	55.440	0.952	ด
15	0	55.440	55.640	0.116	ม
15	1	55.640	55.720	0.944	ึ
15	2	55.720	55.760	0.995	ง
15	3	55.760	55.880	0.861	ก
15	4	55.880	55.900	0.993	ำ
15	5	55.900	55.980	0.996	ล
15	6	55.980	56.040	0.970	ั
15	7	56.040	56.040	0.999	ง
15	8	56.040	56.180	0.990	เส
15	9	56.180	56.220	0.962	ี
15	10	56.220	56.220	0.999	ย
15	11	56.220	56.420	0.216	เบ
15	12	56.420	56.500	0.640	ี
15	13	56.500	56.500	0.996	ย
15	14	56.500	56.600	0.972	บ
16	0	56.600	56.920	0.905	ใ
16	1	56.920	56.940	0.999	คร
16	2	56.940	57.100	0.998	ใช
16	3	57.100	57.180	0.999	้
16	4	57.180	57.400	0.968	 X
16	5	57.400	57.540	0.467	-
16	6	57.540	57.580	0.296	ness
16	7	57.700	57.820	0.996	 แล
16	8	57.820	57.840	0.984	้
16	9	57.840	57.860	0.959	ว
16	10	57.860	57.960	0.929	ได
16	11	57.960	57.980	1.000	้
16	12	57.980	58.120	0.943	ค
16	13	58.120	58.180	0.960	ื
16	14	58.180	58.220	0.981	น
16	15	58.220	58.300	0.967	ไม
16	16	58.300	58.360	0.970	่
16	17	58.360	58.440	0.998	ถ
16	18	58.440	58.460	0.996	ึ
16	19	58.460	58.500	0.999	ง
16	20	58.500	58.660	0.749	 $
16	21	58.660	58.760	0.980	8
16	22	58.760	59.240	0.986	 ต
16	23	59.240	59.260	0.993	่
16	24	59.260	59.260	0.987	อ
16	25	59.260	59.380	0.999	ห
16	26	59.380	59.380	0.990	ล
16	27	59.380	59.400	0.908	อ
16	28	59.400	59.520	0.999	ด
17	0	59.520	59.720	0.918	ม
17	1	59.720	59.780	0.997	ึ
17	2	59.780	59.840	0.999	ง
17	3	59.840	59.920	0.972	ก
17	4	59.920	59.980	0.999	็
17	5	59.980	60.100	0.992	เส
17	6	60.100	60.100	0.987	ี
17	7	60.100	60.120	0.999	ย
17	8	60.120	60.240	0.835	ผ
17	9	60.240	60.300	0.846	ล
17	10	60.300	60.480	0.783	ป
17	11	60.480	60.480	0.918	ระ
17	12	60.480	60.540	0.808	โ
17	13	60.540	60.540	0.989	ย
17	14	60.540	60.640	0.678	ช
17	15	60.640	60.640	0.931	น
17	16	60.640	60.640	0.955	์
17	17	60.640	60.780	0.622	เห
17	18	60.780	60.780	0.958	ม
17	19	60.780	60.780	0.972	ื
17	20	60.780	60.780	0.943	อน
17	21	60.780	60.880	0.995	ก
17	22	60.880	60.960	0.993	ั
17	23	60.960	61.020	0.994	น
18	0	61.320	61.480	0.914	ต
18	1	61.480	61.560	0.941	ล
18	2	61.560	61.660	0.938	า
18	3	61.660	61.720	0.973	ด
18	4	61.720	61.800	0.935	ม
18	5	61.800	61.800	0.940	ั
18	6	61.800	61.860	0.989	น
18	7	61.860	62.000	0.071	 h
18	8	62.000	62.060	0.339	od
18	9	62.140	62.180	0.861	 พ
18	10	62.180	62.280	0.915	อ
18	11	62.280	62.480	0.971	แล
18	12	62.480	62.500	0.998	้
18	13	62.500	62.660	0.997	ว
19	0	62.660	62.940	0.324	อย
19	1	62.940	62.960	0.975	่
19	2	62.960	62.980	0.668	า
19	3	62.980	63.080	0.236	มา
19	4	63.080	63.260	0.751	ง
19	5	63.260	63.280	0.295	โ
19	6	63.280	63.300	0.470	ง
19	7	63.300	63.380	0.647	่
19	8	63.380	63.500	0.943	เส
19	9	63.500	63.520	0.962	ี
19	10	63.520	63.520	1.000	ย
19	11	63.520	63.660	0.911	เง
19	12	63.660	63.700	0.849	ิ
19	13	63.700	63.700	0.841	น
19	14	63.700	63.840	0.991	ให
19	15	63.840	63.860	0.998	้
19	16	63.860	63.960	0.824	ระ
19	17	63.960	64.040	0.967	บ
19	18	64.040	64.080	0.972	บ
19	19	64.080	64.340	0.974	อ
19	20	64.340	64.340	0.893	ี
19	21	64.340	64.520	0.998	ก
20	0	64.520	64.780	0.965	ใ
20	1	64.780	64.840	1.000	คร
20	2	64.840	65.020	0.913	ฟ
20	3	65.020	65.040	0.942	ั
20	4	65.040	65.040	0.993	ง
20	5	65.040	65.160	0.985	มา
20	6	65.160	65.260	0.972	ถ
20	7	65.260	65.280	0.992	ึ
20	8	65.280	65.320	1.000	ง
20	9	65.320	65.440	0.982	ต
20	10	65.440	65.500	0.997	ร
20	11	65.500	65.520	0.997	ง
20	12	65.520	65.640	0.993	น
20	13	65.640	65.720	0.999	ี้
21	0	65.720	66.020	0.272	ก
21	1	66.020	66.120	0.362	ู
21	2	66.120	66.280	0.929	เช
21	3	66.280	66.300	0.938	ื่
21	4	66.300	66.320	0.987	อ
21	5	66.320	66.440	0.992	ว
21	6	66.440	66.460	0.958	่
21	7	66.460	66.460	0.572	า
21	8	66.580	66.580	0.661	 ม
21	9	66.580	66.600	0.988	ึ
21	10	66.600	66.660	0.999	ง
21	11	66.660	66.740	0.988	ไม
21	12	66.740	66.780	0.999	่
21	13	66.780	66.860	0.940	อย
21	14	66.860	66.900	0.998	าก
21	15	66.900	67.060	0.994	เส
21	16	67.060	67.080	0.999	ี
21	17	67.080	67.080	1.000	ย
21	18	67.080	67.220	0.980	เง
21	19	67.220	67.240	0.996	ิ
21	20	67.240	67.240	0.973	น
21	21	67.240	67.420	0.391	ฟ
21	22	67.420	67.460	0.898	ร
21	23	67.460	67.480	0.856	ี
21	24	67.480	67.640	0.782	อ
21	25	67.640	67.640	0.996	ี
21	26	67.640	67.700	0.999	ก
21	27	67.700	67.760	0.989	ต
21	28	67.760	67.840	0.985	่
21	29	67.840	67.860	0.984	อ
21	30	67.860	68.080	0.995	ไป
22	0	68.080	68.080	0.823	ใ
22	1	68.080	68.620	0.993	คร
22	2	68.620	68.780	0.911	อย
22	3	68.780	68.880	0.999	าก
22	4	68.880	69.000	0.991	ได
22	5	69.000	69.080	0.999	้
22	6	69.080	69.260	0.131	 x
22	7	69.260	69.500	0.902	m
22	8	69.540	69.540	0.571	 ห
22	9	69.540	69.760	0.980	ร
22	10	69.760	69.780	0.996	ื
22	11	69.780	69.860	0.981	อ
22	12	69.860	70.000	0.914	 x
22	13	70.000	70.180	0.532	nes
22	14	70.420	70.460	0.172	 เร
22	15	70.460	70.520	0.782	ี
22	16	70.520	70.580	0.954	ย
22	17	70.580	70.700	0.180	ด
22	18	70.700	70.820	0.950	เต
22	19	70.820	70.900	0.543	็
22	20	70.900	71.000	0.999	ม
22	21	71.220	71.280	0.451	 ท
22	22	71.280	71.360	0.734	ั
22	23	71.360	71.400	0.966	ก
22	24	71.400	71.500	0.834	ก
22	25	71.500	71.600	0.748	ู
22	26	71.600	71.800	0.985	มา
23	0	72.100	72.260	0.094	บ
23	1	72.260	72.340	0.064	โ
23	2	72.340	72.340	0.748	ร
23	3	72.340	72.460	0.715	ค
23	4	72.460	72.520	0.841	อ
23	5	72.520	72.620	0.948	ื่
23	6	72.620	72.680	0.952	น
23	7	72.680	72.760	0.843	ก
23	8	72.760	72.820	1.000	็
23	9	72.820	72.900	0.991	ม
23	10	72.900	72.960	0.999	ี
23	11	72.960	73.060	0.952	ค
23	12	73.060	73.140	0.924	ื
23	13	73.140	73.200	0.990	น
23	14	73.200	73.240	0.975	เห
23	15	73.240	73.300	0.974	ม
23	16	73.300	73.320	0.977	ื
23	17	73.320	73.380	0.991	อน
23	18	73.380	73.440	0.996	ก
23	19	73.440	73.520	0.997	ั
23	20	73.520	73.620	0.994	น
24	0	73.620	73.880	0.639	เพ
24	1	73.880	73.960	0.996	ร
24	2	73.960	73.960	0.988	า
24	3	73.960	74.000	0.999	ะ
24	4	74.000	74.060	0.619	ก
24	5	74.060	74.160	0.798	ู
24	6	74.160	74.240	0.537	ด
24	7	74.240	74.260	0.921	ิ
24	8	74.260	74.340	0.884	ว
24	9	74.340	74.460	0.977	ต
24	10	74.460	74.480	0.964	ร
24	11	74.480	74.520	0.992	ง
24	12	74.520	74.600	0.981	ก
24	13	74.600	74.640	0.972	ั
24	14	74.640	74.680	0.992	บ
24	15	74.680	74.760	0.837	โ
24	16	74.760	74.820	0.952	ร
24	17	74.820	74.920	0.826	ค
24	18	74.920	75.060	0.801	เก
24	19	75.060	75.100	0.802	อ
24	20	75.100	75.260	0.934	ร
24	21	75.260	75.280	0.609	์
24	22	75.280	75.360	0.993	 ไม
24	23	75.360	75.460	0.998	่
24	24	75.460	75.540	0.828	ผ
24	25	75.540	75.620	0.565	่
24	26	75.620	75.680	0.992	าน
24	27	75.680	75.840	0.179	 a
24	28	75.940	76.020	0.628	 ย
24	29	76.020	76.020	0.493	่
24	30	76.020	76.080	0.251	น
24	31	76.260	76.320	0.996	 ไม
24	32	76.320	76.400	1.000	่
24	33	76.400	76.460	0.991	ผ
24	34	76.460	76.560	0.961	่
24	35	76.560	76.600	0.998	าน
24	36	76.600	76.760	0.920	คน
24	37	76.760	76.920	0.286	ก
24	38	76.920	76.940	0.977	ล
24	39	76.940	77.060	0.743	าง
25	0	77.060	77.380	0.115	ไม
25	1	77.380	77.480	1.000	่
25	2	77.480	77.560	0.815	ก
25	3	77.560	77.620	0.806	ั
25	4	77.620	77.680	0.903	ก
25	5	77.680	77.780	0.918	เง
25	6	77.780	77.820	0.962	ิ
25	7	77.820	77.820	0.955	น
25	8	77.820	77.980	0.884	ม
25	9	77.980	78.040	0.913	ึ
25	10	78.040	78.200	0.997	ง
25	11	78.260	78.420	0.894	 ม
25	12	78.420	78.500	0.989	ึ
25	13	78.500	78.560	0.999	ง
25	14	78.560	78.640	0.978	ด
25	15	78.640	78.740	0.982	ู
25	16	78.740	78.840	0.977	ต
25	17	78.840	78.880	0.994	ั
25	18	78.880	78.940	0.988	ว
25	19	78.940	79.080	0.905	เล
25	20	79.080	79.200	0.455	ก
25	21	79.300	79.320	0.989	 ม
25	22	79.320	79.380	0.997	ึ
25	23	79.380	79.460	0.999	ง
25	24	79.460	79.560	0.987	ต
25	25	79.560	79.580	0.865	ั
25	26	79.580	79.620	0.543	ด
25	27	79.620	79.680	0.852	ส
25	28	79.680	79.680	0.869	ิ
25	29	79.680	79.740	0.760	น
25	30	79.740	79.800	0.961	ใ
25	31	79.800	79.920	0.996	จ
25	32	79.920	80.020	0.957	เ
25	33	80.020	80.200	0.994	อง
26	0	80.380	80.540	0.777	แต
26	1	80.540	80.640	0.997	่
26	2	80.640	80.720	0.974	จ
26	3	80.720	80.860	0.937	ำ
26	4	80.860	80.980	0.980	ไ
26	5	80.980	81.040	0.815	ว
26	6	81.040	81.380	0.974	้
26	7	81.400	81.520	0.943	 เง
26	8	81.520	81.540	0.994	ิ
26	9	81.540	81.560	0.968	น
26	10	81.560	81.680	0.982	ท
26	11	81.680	81.720	0.996	ุ
26	12	81.720	81.760	0.992	ก
26	13	81.760	81.840	0.773	ห
26	14	81.840	81.880	0.937	ล
26	15	81.880	81.900	0.653	อ
26	16	81.900	81.960	0.914	ด
26	17	81.960	82.020	0.951	ท
26	18	82.020	82.080	0.995	ี่
26	19	82.080	82.160	0.797	ม
26	20	82.160	82.200	0.990	ึ
26	21	82.200	82.280	0.997	ง
26	22	82.280	82.340	0.630	ก
26	23	82.340	82.440	0.879	ด
27	0	82.440	82.720	0.289	ม
27	1	82.720	82.780	0.989	ั
27	2	82.780	82.840	0.995	น
27	3	82.840	82.940	0.945	ค
27	4	82.940	83.020	0.965	ว
27	5	83.020	83.060	0.941	ร
27	6	83.060	83.160	0.996	เป
27	7	83.160	83.200	0.990	็
27	8	83.200	83.200	0.985	น
27	9	83.200	83.300	0.993	ข
27	10	83.300	83.400	0.998	อง
27	11	83.400	83.560	0.924	ม
27	12	83.560	83.600	0.997	ึ
27	13	83.600	83.820	0.999	ง
27	14	83.820	84.020	0.997	 ไม
27	15	84.020	84.120	1.000	่
27	16	84.120	84.220	1.000	ใช
27	17	84.220	84.320	0.295	่
27	18	84.320	84.380	0.993	ข
27	19	84.380	84.480	0.997	อง
27	20	84.480	84.640	0.978	คน
27	21	84.640	84.740	0.970	อ
27	22	84.740	84.840	0.990	ื่
27	23	84.840	84.960	0.990	น
